GENERO ESTATURA MASA EDAD GASTOM TIEMPO INGRESO GASERV
HOMBRE 167.3 86.5 33.0 501.6 1.3 554.7 160.2
HOMBRE 190.0 74.0 34.2 505.5 42.9 593.1 148.5
MUJER 159.7 48.8 30.0 400.5 17.2 1536.6 144.6
HOMBRE 179.2 64.8 28.7 493.2 2.1 1502.1 158.4
HOMBRE 174.7 77.9 30.8 487.5 63.6 877.2 166.5
HOMBRE 178.5 75.6 26.1 484.5 27.1 600.6 153.9
MUJER 156.9 54.4 18.5 388.8 28.8 546.9 132.3
HOMBRE 180.9 80.4 28.6 503.4 17.2 1482.3 157.2
HOMBRE 154.2 87.1 28.2 483.6 16.0 885.3 139.8
MUJER 171.0 49.2 24.1 396.0 81.2 1462.5 155.4
MUJER 167.6 59.5 25.1 399.9 12.1 1490.1 144.9
MUJER 163.8 54.9 29.8 396.0 5.8 577.8 148.2
HOMBRE 176.3 83.5 34.7 490.5 81.5 939.3 162.9
MUJER 171.2 60.7 23.9 404.7 2.3 1537.8 154.8
HOMBRE 186.5 80.3 30.2 487.8 24.1 603.9 141.6
HOMBRE 147.4 75.2 29.7 503.4 53.5 897.3 161.4
MUJER 152.8 55.3 19.2 401.4 4.2 559.5 131.1
HOMBRE 196.3 80.2 29.4 492.0 3.5 896.4 137.7
MUJER 166.7 48.5 19.5 408.9 51.8 1496.1 159.0
HOMBRE 175.8 79.7 32.9 507.0 7.8 1502.1 123.9
HOMBRE 180.2 78.5 29.2 494.4 34.4 1503.6 138.0
HOMBRE 173.0 77.8 29.4 485.7 13.4 901.2 150.0
HOMBRE 181.1 73.6 31.8 499.8 1.4 1430.7 160.8
HOMBRE 174.9 70.7 29.0 494.7 218.1 935.4 133.5
HOMBRE 199.7 79.1 32.3 500.4 67.7 1503.6 158.1
HOMBRE 177.8 83.8 29.3 508.2 6.4 556.5 138.0
HOMBRE 167.3 80.8 35.0 485.1 38.5 560.7 143.4
HOMBRE 183.4 69.7 33.7 492.3 31.0 1797.9 154.8
MUJER 174.7 54.3 20.8 425.1 5.2 1515.9 141.9
MUJER 157.1 52.6 15.8 394.8 7.4 600.6 158.1
MUJER 166.8 49.3 23.5 418.8 17.0 911.7 161.7
MUJER 165.4 51.1 27.7 393.9 9.0 616.8 173.1
MUJER 162.1 56.1 21.7 410.4 15.8 919.8 149.1
MUJER 181.8 53.9 24.0 395.1 2.7 855.6 135.9
HOMBRE 181.6 78.8 25.5 494.7 18.2 1506.0 146.1
HOMBRE 174.5 81.1 29.0 510.0 25.0 1542.9 174.3
MUJER 172.6 60.8 20.8 393.0 55.9 904.2 139.8
HOMBRE 177.5 80.6 27.9 491.4 34.3 1462.5 154.8
HOMBRE 181.1 75.1 31.6 488.7 15.5 553.5 159.3
MUJER 166.8 60.3 28.4 377.4 5.0 948.0 174.0
HOMBRE 178.0 81.5 34.0 509.7 4.0 1770.6 157.5
HOMBRE 168.1 77.3 28.6 504.0 29.1 1475.1 152.7
MUJER 159.2 53.7 22.4 394.8 63.5 608.1 168.6
HOMBRE 183.4 70.1 35.5 505.5 53.7 936.9 147.0
HOMBRE 172.9 67.6 33.6 501.6 5.5 1492.2 164.7
MUJER 162.4 52.1 22.1 396.3 39.6 600.0 147.9
MUJER 170.9 56.8 26.4 405.9 19.6 590.1 133.2
HOMBRE 153.3 64.7 24.4 494.4 103.2 891.6 168.3
HOMBRE 163.5 76.7 26.4 523.2 15.0 1519.5 146.1
HOMBRE 156.4 67.8 31.3 519.0 11.5 1494.9 163.2
HOMBRE 175.2 77.0 29.3 502.8 31.1 910.8 165.0
MUJER 173.0 46.2 28.1 399.0 3.0 607.5 146.4
HOMBRE 200.0 72.8 37.2 509.1 1.6 1442.7 160.8
MUJER 155.1 50.4 25.0 398.7 27.9 604.2 169.5
MUJER 161.9 48.2 30.0 397.5 47.3 951.6 163.5
HOMBRE 173.4 72.0 26.9 516.0 54.9 897.3 161.7
MUJER 170.1 48.0 25.2 399.9 19.3 1800.3 153.9
HOMBRE 157.1 72.0 30.4 511.5 32.0 885.0 146.7
MUJER 160.5 47.7 24.4 389.4 33.3 608.1 156.0
HOMBRE 163.2 76.6 30.2 501.6 28.8 924.0 142.8
HOMBRE 176.0 68.7 35.1 498.0 48.5 819.0 163.8
MUJER 162.3 67.8 28.1 403.2 110.2 1503.9 136.2
HOMBRE 168.8 79.5 30.8 495.3 4.0 878.7 159.9
